City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
172,Beringovskiy,63.05,179.3167,9.1,87,100,10.87,RU,overcast clouds
173,Knysna,-34.0363,23.0471,64.4,94,20,17.27,ZA,moderate rain
174,Ranong,9.9658,98.6348,86.0,66,20,10.36,TH,few clouds
175,Tuatapere,-46.1333,167.6833,57.0,74,80,15.99,NZ,broken clouds
176,Gupitan,7.7758,125.6406,90.91,62,40,3.2,PH,scattered clouds
177,Hovd,48.0056,91.6419,20.28,23,100,4.76,MN,light snow
178,Taltal,-25.4,-70.4833,62.89,89,39,2.33,CL,scattered clouds
179,Severo-Kurilsk,50.6789,156.125,36.95,85,7,5.53,RU,clear sky
180,Salalah,17.0151,54.0924,69.8,49,0,4.61,OM,clear sky
181,Bontang,0.1333,117.5,87.1,64,1,4.97,ID,clear sky
182,Gazanjyk,39.2446,55.5154,21.79,91,21,11.59,TM,few clouds
183,Cervo,43.6702,-7.4101,33.01,100,7,1.99,ES,clear sky
184,Srednekolymsk,67.45,153.6833,-4.52,90,32,7.76,RU,scattered clouds
185,Barcelos,41.5388,-8.6151,53.01,76,0,4.61,PT,clear sky
186,Beloha,-25.1667,45.05,72.01,78,0,10.6,MG,clear sky
187,Zaozerne,45.1582,33.2787,43.52,63,0,7.92,UA,clear sky
188,Mehamn,71.0357,27.8492,30.2,86,90,9.22,NO,light snow
189,Thunder Bay,48.4001,-89.3168,21.2,58,1,6.91,CA,clear sky
190,Juazeiro,-9.4117,-40.4986,77.0,69,0,4.61,BR,clear sky
191,Matane,48.8286,-67.522,12.0,55,100,22.44,CA,overcast clouds
192,Mildura,-34.2,142.15,72.0,30,91,9.22,AU,overcast clouds
193,Aklavik,68.2191,-135.0107,-7.6,77,96,6.91,CA,overcast clouds
194,Kroya,-7.6331,109.2461,87.4,64,61,3.58,ID,broken clouds
195,Clovis,36.8252,-119.7029,55.4,62,75,5.75,US,broken clouds
196,At-Bashi,41.1702,75.8106,24.37,83,86,1.5,KG,overcast clouds
197,Nador,35.174,-2.9287,53.6,94,75,5.19,MA,broken clouds
198,Plettenberg Bay,-34.0527,23.3716,68.13,92,100,3.18,ZA,light rain
199,Pirapora,-17.345,-44.9419,65.95,82,97,1.34,BR,overcast clouds
200,Kodiak,57.79,-152.4072,35.6,60,1,12.66,US,clear sky
201,Maltahohe,-24.8333,16.9833,66.51,44,62,5.84,NA,broken clouds
202,Karatuzskoye,53.6072,92.8667,15.26,74,100,3.11,RU,overcast clouds
203,Katobu,-4.9408,122.5276,88.47,63,13,1.88,ID,few clouds
204,Gillette,44.2911,-105.5022,28.99,93,90,6.13,US,overcast clouds
205,Victoria,22.2855,114.1577,79.0,64,40,4.61,HK,scattered clouds
206,Shirokiy,49.758,129.523,37.81,72,100,25.75,RU,moderate rain
207,Tecoanapa,16.5167,-98.75,75.2,83,0,4.76,MX,clear sky
208,Beaverlodge,55.2166,-119.4361,12.2,79,90,27.63,CA,overcast clouds
209,La Ronge,55.1001,-105.2842,41.0,60,20,12.66,CA,few clouds
210,Carutapera,-1.195,-46.02,75.4,92,0,2.91,BR,clear sky
211,Cacador,-26.7753,-51.015,61.74,96,44,1.92,BR,scattered clouds
212,Faya,18.3851,42.4509,59.0,41,0,3.02,SA,clear sky
213,Buluang,13.3068,123.3425,85.17,70,56,6.33,PH,broken clouds
214,Beira,-19.8436,34.8389,73.38,91,60,5.19,MZ,broken clouds
215,Baghmara,23.795,86.2085,86.81,22,0,1.36,IN,clear sky
216,Floro,61.5996,5.0328,35.6,75,0,4.61,NO,clear sky
217,Upernavik,72.7868,-56.1549,-7.73,99,99,6.29,GL,overcast clouds
218,Fallon,39.4735,-118.7774,52.0,16,75,11.97,US,broken clouds
219,Kolpny,52.2282,37.0368,30.06,91,98,13.18,RU,light snow
220,Dahanu,19.9667,72.7333,84.78,29,0,9.26,IN,clear sky
221,Sao Filipe,14.8961,-24.4956,70.68,73,0,4.07,CV,clear sky
222,Halifax,44.6453,-63.5724,21.2,63,100,8.05,CA,overcast clouds
223,Bengkulu,-3.8004,102.2655,83.05,76,9,6.13,ID,clear sky
224,Shimoda,34.6667,138.95,59.0,47,20,6.91,JP,few clouds
225,Kalur Kot,32.1564,71.2594,74.35,37,100,9.4,PK,overcast clouds
