City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Arvika,SE,2021-03-14 21:24:40,59.6553,12.5852,32.0,93,75,3.44
132,Mandera,KE,2021-03-14 21:26:57,3.9366,41.867,87.12,40,92,9.13
133,Ati,TD,2021-03-14 21:26:58,13.2154,18.3353,82.67,15,5,3.31
134,Bauta,CU,2021-03-14 21:26:58,22.9828,-82.5464,86.0,42,40,5.75
135,Faanui,PF,2021-03-14 21:26:59,-16.4833,-151.75,82.72,74,100,14.7
136,Santa Catalina,PH,2021-03-14 21:26:59,9.3337,122.8637,75.2,88,20,4.61
137,Mitsamiouli,KM,2021-03-14 21:27:00,-11.3847,43.2844,82.24,73,100,5.64
138,Monterey,US,2021-03-14 21:27:00,36.2505,-121.2516,55.0,56,100,3.0
139,Caldwell,US,2021-03-14 21:25:32,43.6629,-116.6874,64.4,24,1,3.44
140,Clyde River,CA,2021-03-14 21:27:01,70.4692,-68.5914,-7.6,77,1,21.85
141,Airai,TL,2021-03-14 21:27:02,-8.9266,125.4092,59.23,87,100,1.52
142,Meulaboh,ID,2021-03-14 21:27:03,4.1363,96.1285,75.96,88,100,5.5
143,Buala,SB,2021-03-14 21:27:04,-8.145,159.5921,80.87,74,93,4.52
144,Anadyr,RU,2021-03-14 21:27:04,64.75,177.4833,6.01,85,75,20.13
145,Padang,ID,2021-03-14 21:27:05,-0.9492,100.3543,77.99,85,97,3.8
146,Nanortalik,GL,2021-03-14 21:27:05,60.1432,-45.2371,31.66,79,100,7.07
147,Okhotsk,RU,2021-03-14 21:27:06,59.3833,143.3,2.75,76,100,5.28
148,Quetigny,FR,2021-03-14 21:27:06,47.3167,5.1167,43.0,75,0,5.75
149,Dwarka,IN,2021-03-14 21:27:07,22.2394,68.9678,76.37,67,0,13.04
150,Meridian,US,2021-03-14 21:27:07,43.6121,-116.3915,64.4,24,1,8.5
151,Itabirito,BR,2021-03-14 21:27:08,-20.2533,-43.8014,77.0,57,0,10.36
152,Iquique,CL,2021-03-14 21:27:08,-20.2208,-70.1431,75.2,69,20,20.71
153,Hasaki,JP,2021-03-14 21:27:08,35.7333,140.8333,37.4,75,20,2.3
