City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Takoradi,GH,77.43,overcast clouds,4.8845,-1.7554,Raybow International Hotel
505,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
508,Bubaque,GW,77.7,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
509,Axim,GH,77.72,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
510,Le Port,RE,75.2,overcast clouds,-20.9373,55.2919,Villa Maido
516,Luis Correia,BR,76.17,clear sky,-2.8792,-41.6669,Hotel Amarração
517,Phaphund,IN,85.78,few clouds,26.6,79.4667,जय माँ मंदिर कटरा हेमनाथ
518,Hobyo,SO,80.06,light rain,5.3505,48.5268,Halane Hotel and Restaurent
522,Kaohsiung,TW,82.4,scattered clouds,22.6163,120.3133,御宿商旅-中山館
526,Gladstone,AU,87.8,broken clouds,-23.85,151.25,Highpoint International
542,Banda Aceh,ID,86.41,few clouds,5.5577,95.3222,Sulthan Hotel International
544,Weligama,LK,83.52,overcast clouds,5.9667,80.4167,Weligama Bay Resort
548,Sao Luis,BR,77.0,light rain,-2.5297,-44.3028,Solar das Pedras Hostel
550,Port-Gentil,GA,79.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
551,Qui Nhon,VN,78.87,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
566,Bitung,ID,89.6,scattered clouds,1.4451,125.1824,K2 Lembeh
568,Grand-Lahou,CI,78.73,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
570,Ambilobe,MG,75.88,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
573,Madang,PG,85.06,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
574,Rafaela,AR,78.94,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
575,Dhanwar,IN,85.06,clear sky,24.4167,85.9833,K G N HOTEL
580,Sibolga,ID,86.97,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
583,Mabay,PH,89.6,few clouds,6.0577,124.4666,Bautista Lodging House
584,Kuala Terengganu,MY,84.2,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
589,Ransang,PH,84.25,clear sky,8.9603,117.5828,Black and Crystal Sand Campsite
591,Alenquer,BR,75.2,clear sky,-1.9417,-54.7383,Josilene Castro
598,Sabang,ID,83.44,scattered clouds,5.8933,95.3214,Hotel Citra
599,Vejalpur,IN,77.0,scattered clouds,22.6833,73.5667,कोहिनूर हेर
